,Site,Location,Date,count,mean,std,max,min,type
0,Dry Basin,Basin,2016-04-20,3,15.3018935470715,52.79810909565307,69.1037723044589,-36.4316595826558,N2O_flux
1,Dry Basin,Basin,2016-04-27,3,46.593876891203536,13.219105572072772,59.1315498466543,32.7851584666421,N2O_flux
2,Dry Basin,Basin,2016-05-11,3,-20.608212189318866,11.255629317638066,-11.158863800901,-33.060858472750304,N2O_flux
3,Dry Basin,Basin,2016-06-02,3,35.07007824243893,29.78015276011088,63.1719688145554,3.8560822916494,N2O_flux
4,Dry Basin,Basin,2016-06-20,3,-4.409586956999919,8.524318028308725,5.15919132980118,-11.192190158323697,N2O_flux
5,Dry Basin,Basin,2016-06-27,3,7.295952792486832,21.010791156360607,24.593808936104196,-16.0853028158057,N2O_flux
6,Dry Basin,Basin,2016-07-08,3,33.44840122085127,4.3789678721608905,36.5834288438622,28.4451835545824,N2O_flux
7,Dry Basin,Basin,2016-07-13,3,17.355478938693533,9.978565987914026,23.475548597761602,5.8408394642769,N2O_flux
8,Dry Basin,Basin,2016-07-22,3,-298.23091070889865,110.54389271177193,-175.59181612280202,-390.20484716889297,N2O_flux
9,Dry Basin,Basin,2016-07-25,3,49.86865291393207,77.97990144188536,131.565680107769,-23.7679963368057,N2O_flux
10,Dry Basin,Basin,2016-08-02,3,29.49902780625993,36.61210203154818,65.11632970253339,-8.0327534560734,N2O_flux
11,Dry Basin,Basin,2016-08-10,3,12.046761614046561,39.37322404260879,53.7141651142905,-24.538809411509398,N2O_flux
12,Dry Basin,Basin,2016-08-23,3,79.88244529550765,56.2749657231929,119.66477796287799,15.495253602207,N2O_flux
13,Dry Basin,Basin,2016-09-14,3,24.895007462000866,13.05306596987602,33.2555611593803,9.85386565609611,N2O_flux
14,Dry Basin,Basin,2016-09-19,3,22.387183403896614,25.27619979223985,44.676361486583204,-5.07551463438437,N2O_flux
15,Dry Basin,Basin,2016-09-21,3,-18.63331341186017,40.02859464280552,22.245170615678802,-57.7541117522776,N2O_flux
16,Dry Basin,Basin,2016-10-08,3,-9.406527387397915,16.750456049819526,6.3843337805178795,-26.974822364008197,N2O_flux
17,Dry Basin,Basin,2017-04-27,3,-2.5496034044089035,13.995752280019152,12.276463267994401,-15.5323667298246,N2O_flux
18,Dry Basin,Basin,2017-05-27,3,7.509338120694543,4.946551122701698,11.819440149819998,2.10842306347724,N2O_flux
19,Dry Basin,Basin,2017-06-02,3,28.27147756770064,36.768780606764544,56.995163683665105,-13.1672120430478,N2O_flux
20,Dry Basin,Basin,2017-06-09,3,31.000935791055763,11.96594132630752,40.1104691002384,17.449166636114498,N2O_flux
21,Dry Basin,Basin,2017-06-20,3,11.16183428614282,10.880305819814112,20.8484615980429,-0.610259437246539,N2O_flux
22,Dry Basin,Basin,2017-06-27,3,-4.150592996824165,33.78190616145006,19.516285812604803,-42.8378276540885,N2O_flux
23,Dry Basin,Basin,2017-07-05,3,-15.605524544484012,20.900774886006836,8.34241934499596,-30.1707082588934,N2O_flux
24,Dry Basin,Basin,2017-07-15,3,48.05600604316663,36.56807425427657,80.3977797725272,8.37488079825258,N2O_flux
25,Dry Basin,Basin,2017-07-20,3,51.22976869303023,27.967089416221643,74.9620946920292,20.3967762952664,N2O_flux
26,Dry Basin,Basin,2017-07-25,3,30.949938653375767,9.259266290489116,39.087014008257704,20.8751529174612,N2O_flux
27,Dry Basin,Basin,2017-08-02,3,16.208820970867073,11.792841080770389,24.4586443153805,2.7016701285323195,N2O_flux
28,Dry Basin,Basin,2017-08-12,3,12.2294231504603,29.317087613093058,40.289316172663604,-18.200932770185197,N2O_flux
29,Dry Basin,Basin,2017-08-15,3,40.379292300590535,23.048133327088724,55.222867611152104,13.8272235741121,N2O_flux
30,Dry Basin,Basin,2017-08-23,3,33.87890783556964,63.022637564987406,105.881242715699,-11.2656000501441,N2O_flux
31,Dry Basin,Basin,2017-09-13,3,49.58755043424973,78.25721340229981,106.880192273137,-39.5761757735391,N2O_flux
32,Dry Basin,Basin,2017-09-24,3,41.4278024586988,34.19832134271062,80.9128309513612,21.2113933300089,N2O_flux
33,Dry Basin,Basin,2017-10-28,3,90.29270331819278,174.1367299636341,275.954694569804,-69.4024791028816,N2O_flux
34,Dry Basin,Reference,2016-04-20,2,36.93914039305632,62.82088107480431,81.3602114011641,-7.481930615051461,N2O_flux
35,Dry Basin,Reference,2016-04-27,2,-1.6819942470308007,23.327051707339937,14.8127222003185,-18.176710694380102,N2O_flux
36,Dry Basin,Reference,2016-05-11,2,18.57017329675742,39.91600204498484,46.7950490206223,-9.65470242710746,N2O_flux
37,Dry Basin,Reference,2016-06-02,2,8.724296645207037,22.161992971895714,24.395192160243102,-6.94659886982903,N2O_flux
38,Dry Basin,Reference,2016-06-20,2,14.335336560166871,29.853749174107676,35.4451250450207,-6.77445192468696,N2O_flux
39,Dry Basin,Reference,2016-06-27,2,28.5949182730323,12.498147603335175,37.432443195621,19.7573933504436,N2O_flux
40,Dry Basin,Reference,2016-07-08,2,19.1218420760278,11.73996942140658,27.423254064827102,10.8204300872285,N2O_flux
41,Dry Basin,Reference,2016-07-13,2,-29.098506589188197,17.486398765655103,-16.7337554434614,-41.463257734915,N2O_flux
42,Dry Basin,Reference,2016-07-22,2,-152.5445398334635,28.02558256690571,-132.727460353701,-172.36161931322602,N2O_flux
43,Dry Basin,Reference,2016-07-25,2,1.4293039275143005,5.629877993560283,5.410228834013691,-2.55162097898509,N2O_flux
